service_request_id,date_received,ward,service_type,status,response_days
SR-103256,,8,Rodent Inspection,In Progress,11
SR-103234,2023-09-24,8,pothole,Resolved,4
SR-101381,2023-05-20,5,Noise Complaint,In Progress,5
SR-100337,2023-09-06,2,Streetlight Out,Closed,4
SR-101566,2023-11-10,5,Noise Complaint,Closed,5
SR-103191,2023-01-04,8,Noise Complaint,Closed,11
SR-100980,2023-10-17,4,Noise Complaint,Closed,11
SR-103203,2023-12-15,8,Trash Collection,In Progress,9
SR-101882,2023-02-08,6,Illegal Dumping,In Progress,1
SR-102646,2023-07-13,7,Trash Collection,Resolved,26
SR-100064,2023-05-13,1,Rodent Inspection,closed,19
SR-102503,2023-05-14,7,Noise Complaint,closed,2
SR-103041,2023-02-26,7,Streetlight Out,Closed,25
SR-102457,2023-05-19,7,Trash Collection,Closed,10
SR-102200,2023-01-12,6,Trash Collection,In Progress,28
SR-102689,2023-04-06,7,Noise Complaint,Open,2
SR-100812,2023-05-17,3,Rodent Inspection,In Progress,1
SR-102958,2023-07-13,7,pothole,Closed,7
SR-100112,2023-07-07,1,Illegal Dumping,Open,6
SR-101522,2023-01-26,5,Trash Collection,Closed,439
SR-100505,2023-11-16,3,Noise Complaint,Closed,16
SR-101988,N/A,6,Rodent Inspection,In Progress,1
SR-100549,2023-08-26,3,POTHOLE,Open,9
SR-101747,2023-09-06,5,Streetlight Out,Open,20
SR-101020,2023-12-04,4,Trash Collection,In Progress,11
SR-103314,2023-08-13,8,Illegal Dumping,closed,21
SR-103367,2023-07-15,,POTHOLE,In Progress,4
SR-101393,2023-01-21,5,Illegal Dumping,Closed,560
SR-100620,2023-08-10,3,Illegal Dumping,In Progress,8
SR-101370,2023-04-04,5,Streetlight Out,Closed,21
SR-100121,2023-02-21,1,Noise Complaint,closed,28
SR-103114,2023-12-06,7,Noise Complaint,Closed,4
SR-100648,2023-01-22,3,Pothole,closed,29
SR-102635,2023-03-07,7,Illegal Dumping,Closed,15
SR-101339,2023-11-11,5,Pothole,closed,10
SR-101839,2023-12-28,6,Trash Collection,closed,30
SR-101499,2023-08-14,5,Illegal Dumping,Closed,3
SR-100964,2023-04-26,4,Illegal Dumping,In Progress,27
SR-102554,2023-03-19,7,Rodent Inspection,closed,769
SR-102556,2023-06-19,7,POTHOLE,In Progress,9
SR-100082,2023-06-07,1,pothole,Open,24
SR-101594,2023-02-10,5,pothole,Closed,10
SR-102598,2023-08-15,7,Noise Complaint,closed,30
SR-100814,2023-11-25,3,Illegal Dumping,Closed,12
SR-102630,2023-05-18,7,Noise Complaint,Open,479
SR-100807,2023-09-22,3,Trash Collection,Closed,22
SR-100061,2023-11-18,1,Noise Complaint,Closed,16
SR-102318,2023-04-13,6,Noise Complaint,In Progress,9
SR-101425,2023-11-02,5,Illegal Dumping,Closed,28
SR-101371,2023-04-09,5,Streetlight Out,Open,2
SR-102289,2023-03-19,6,Illegal Dumping,closed,17
SR-101619,2023-04-25,5,Noise Complaint,closed,29
SR-101636,2023-08-18,5,POTHOLE,Open,18
SR-100525,2023-10-18,3,Pothole,In Progress,5
SR-101290,2023-10-05,5,Trash Collection,closed,1
SR-101791,2023-08-15,6,Rodent Inspection,Open,26
SR-100923,2023-05-15,,pothole,In Progress,12
SR-100799,2023-04-05,3,Noise Complaint,Open,30
SR-100622,2023-09-08,,pothole,In Progress,25
SR-102169,2023-08-19,6,Noise Complaint,Open,3
SR-100139,2023-12-25,1,Noise Complaint,closed,5
SR-102913,2023-05-01,7,Streetlight Out,Closed,1
SR-102999,2023-08-10,7,Illegal Dumping,In Progress,19
SR-100547,2023-06-08,3,POTHOLE,Resolved,15
SR-100297,2023-05-04,,pothole,Resolved,5
SR-102514,2023-03-21,7,pothole,Open,11
SR-101165,2023-03-06,4,POTHOLE,In Progress,23
SR-102442,2023-02-15,7,Pothole,Open,14
SR-102108,2023-10-24,6,Trash Collection,In Progress,16
SR-102685,2023-06-25,7,Illegal Dumping,Resolved,5
SR-103279,2023-10-01,8,Illegal Dumping,Closed,15
SR-103299,2023-03-20,8,pothole,closed,19
SR-102749,2023-12-09,7,Pothole,Closed,27
SR-101008,2023-11-19,4,Streetlight Out,closed,21
SR-102080,2023-09-25,6,Trash Collection,In Progress,9
SR-101675,2023-06-26,5,Illegal Dumping,In Progress,30
SR-100339,2023-05-26,2,Illegal Dumping,Resolved,5
SR-100822,2023-05-14,3,Pothole,In Progress,22
SR-101824,2023-04-14,6,Pothole,In Progress,7
SR-100447,2023-01-04,2,POTHOLE,Closed,5
SR-102977,2023-05-25,7,Rodent Inspection,In Progress,27
SR-101535,2023-02-08,5,pothole,closed,28
SR-100856,2023-12-11,3,Illegal Dumping,Resolved,17
SR-101424,2023-02-14,5,Streetlight Out,closed,14
SR-101223,2023-03-13,4,Trash Collection,Open,20
